GEO_ID,NAME,TOTAL,WHITE,BLACK,AIAH,ASIAN,NHOPI,OTHER,TWOMORE
1500000US421010038005,"Block Group 5, Census Tract 38, Philadelphia County, Pennsylvania",1000,861,24,0,64,0,11,40
1500000US421010039011,"Block Group 1, Census Tract 39.01, Philadelphia County, Pennsylvania",1449,779,142,5,361,0,79,83
1500000US421010039012,"Block Group 2, Census Tract 39.01, Philadelphia County, Pennsylvania",1283,992,57,4,129,0,37,64
1500000US421010039013,"Block Group 3, Census Tract 39.01, Philadelphia County, Pennsylvania",1854,1515,69,6,100,0,53,111
1500000US421010039014,"Block Group 4, Census Tract 39.01, Philadelphia County, Pennsylvania",1633,703,222,3,494,0,106,105
1500000US421010039021,"Block Group 1, Census Tract 39.02, Philadelphia County, Pennsylvania",1416,1200,40,2,60,1,27,86
1500000US421010039022,"Block Group 2, Census Tract 39.02, Philadelphia County, Pennsylvania",2523,2305,9,1,72,0,31,105
1500000US421010039023,"Block Group 3, Census Tract 39.02, Philadelphia County, Pennsylvania",1758,1612,6,3,72,0,8,57
1500000US421010040011,"Block Group 1, Census Tract 40.01, Philadelphia County, Pennsylvania",1329,983,21,9,157,0,99,60
1500000US421010040012,"Block Group 2, Census Tract 40.01, Philadelphia County, Pennsylvania",1274,953,38,17,155,1,65,45
1500000US421010040013,"Block Group 3, Census Tract 40.01, Philadelphia County, Pennsylvania",918,664,36,5,147,0,24,42
1500000US421010040014,"Block Group 4, Census Tract 40.01, Philadelphia County, Pennsylvania",956,743,14,3,110,1,25,60
1500000US421010040021,"Block Group 1, Census Tract 40.02, Philadelphia County, Pennsylvania",1384,986,20,2,175,1,115,85
1500000US421010040022,"Block Group 2, Census Tract 40.02, Philadelphia County, Pennsylvania",1665,1139,22,0,318,0,119,67
1500000US421010040023,"Block Group 3, Census Tract 40.02, Philadelphia County, Pennsylvania",1242,1016,10,1,111,5,32,67
1500000US421010040024,"Block Group 4, Census Tract 40.02, Philadelphia County, Pennsylvania",1068,910,8,5,88,0,14,43
1500000US421010041011,"Block Group 1, Census Tract 41.01, Philadelphia County, Pennsylvania",835,320,31,18,258,1,177,30
1500000US421010041012,"Block Group 2, Census Tract 41.01, Philadelphia County, Pennsylvania",937,211,80,10,324,0,263,49
1500000US421010041013,"Block Group 3, Census Tract 41.01, Philadelphia County, Pennsylvania",3269,964,538,47,718,0,735,267
1500000US421010041014,"Block Group 4, Census Tract 41.01, Philadelphia County, Pennsylvania",1142,175,104,17,665,0,106,75
1500000US421010041015,"Block Group 5, Census Tract 41.01, Philadelphia County, Pennsylvania",983,223,188,14,324,1,180,53
